ENERDATA,SBS,EF,IEA,flow,Navigate,
NA,PCH,REN,NA,,,
NA,PCH,HCL,BITCOAL,NECHEM,Final Energy|Industry|Chemicals|Solids|Coal,
NA,PCH,LGN,NA,,,
Oil final consumption of chemical feedstock.Mtoe,PCH,CRO,NA,NECHEM,Final Energy|Industry|Chemicals|Liquids|Fossil,
LPG (liquified petroleum gas) final consumption of chemical feedstock.Mtoe,PCH,LPG,LPG,NECHEM,,
NA,PCH,GSL,NONBIOGASO,NECHEM,,
NA,PCH,KRS,NA,,,
"Diesel, heating oil final consumption of chemical feedstock.Mtoe",PCH,GDO,NONBIODIES,NECHEM,,
NA,PCH,RFO,NA,,,
NA,PCH,OLQ,NA,,,
Natural gas final consumption of chemical feedstock.Mtoe,PCH,NGS,NATGAS,NECHEM,,
NA,PCH,OGS,NA,,,
NA,PCH,NUC,NA,,,
NA,PCH,STE,NA,,,
NA,PCH,HYD,NA,,Final Energy|Industry|Chemicals|Hydrogen,
NA,PCH,WND,NA,,,
NA,PCH,SOL,NA,,Final Energy|Industry|Chemicals|Solar,
NA,PCH,BMSWAS,NA,,Final Energy|Industry|Chemicals|Solids|Biomass,
NA,PCH,GEO,NA,,,
NA,PCH,MET,NA,,,
NA,PCH,ETH,NA,,,
NA,PCH,BGDO,NA,,,
NA,PCH,H2F,NA,,,
NA,PCH,ELC,NA,,Final Energy|Industry|Chemicals|Electricity,
NA,PCH,STE1AL,NA,,,
NA,PCH,STE1AH,NA,,,
NA,PCH,STE1AD,NA,,,
NA,PCH,STE1AR,NA,,,
NA,PCH,STE1AG,NA,,,
NA,PCH,STE1AB,NA,,,
NA,PCH,STE1AH2F,NA,,,
NA,PCH,STE2LGN,NA,,,
NA,PCH,STE2OSL,NA,,,
NA,PCH,STE2GDO,NA,,,
NA,PCH,STE2RFO,NA,,,
NA,PCH,STE2OLQ,NA,,,
NA,PCH,STE2NGS,NA,,,
NA,PCH,STE2OGS,NA,,,
NA,PCH,STE2BMS,NA,,,
NA,PCH,PHEVGSL,NA,,,
NA,PCH,PHEVGDO,NA,,,
NA,PCH,CHEVGSL,NA,,,
NA,PCH,CHEVGDO,NA,,,
NA,PCH,SLD,NA,,Final Energy|Industry|Chemicals|Solids,
NA,PCH,GAS,NA,,Final Energy|Industry|Chemicals|Gases,
NA,PCH,LQD,NA,,Final Energy|Industry|Chemicals|Liquids,
NA,PCH,OLQT,NA,,,
NA,PCH,NFF,NA,,,
NA,PCH,NEF,NA,,,
NA,PCH,HEATPUMP,NA,,,
NA,IS,REN,NA,,,
Coal and lignite final consumption of steel industry.Mtoe,IS,HCL,BITCOAL,IRONSTL,Final Energy|Industry|Iron and Steel|Solids|Coal,
NA,IS,LGN,LIGNITE,IRONSTL,,
NA,IS,CRO,NA,,Final Energy|Industry|Iron and Steel|Liquids|Fossil,
NA,IS,LPG,LPG,IRONSTL,,
NA,IS,GSL,NONBIOGASO,IRONSTL,,
NA,IS,KRS,NA,,,
